pointer_index,translation_status,english_text,korean_draft,compiled_display_text,basis,notes,failures,warnings
16,english_reference_reviewed,ROKU GET EM,녀석들을 잡아!,녀석들을 잡아,english_reference,영어 참조 의미 대조 완료,,
17,english_reference_reviewed,ROKU AARGH I LOST,아악! 내가 졌다,아악 내가 졌다,english_reference,영어 참조 의미 대조 완료,,
18,english_reference_reviewed,WE MAY BE BAD BUT WE DON T HURT WOMEN,우린 나쁜 놈일지 몰라도 여자는 괴롭히지 않아,우린 나쁜 놈일지 몰라도 여자는 괴롭히지 않아,english_reference,영어 참조 의미 대조 완료,,
19,english_reference_reviewed,WHAT I BEAT THEM,뭐라고? 내가 이겼다고?,뭐라고 내가 이겼다고,english_reference,영어 참조 의미 대조 완료,,
20,english_reference_reviewed,BEEG BOSS JINRO SENT ME TO KICK YOUR BUTTS,진로 큰두목이 네놈들을 혼내라고 나를 보냈다,진로 큰두목이 네놈들을 혼내라고 나를 보냈다,english_reference,영어 참조 의미 대조 완료,,
21,english_reference_reviewed,I M GONNA KICK YOUR ASSES ALL THE WAY TO CHINA,네놈들을 중국 끝까지 날려 주마,네놈들을 중국 끝까지 날려 주마,english_reference,영어 참조 의미 대조 완료,,
22,english_reference_reviewed,OK,좋아,좋아,english_reference,영어 참조 의미 대조 완료,,
23,english_reference_reviewed,JINRO WILL SEE YA NOW,이제 진로가 상대해 주마,이제 진로가 상대해 주마,english_reference,영어 참조 의미 대조 완료,,
24,english_reference_reviewed,SO YOU RE BEEG BOSS,"그래, 네가 큰두목이군",그래 네가 큰두목이군,english_reference,영어 참조 의미 대조 완료,,
25,english_reference_reviewed,I LL SHOW THESE LOSERS A THING OR TWO,이 패배자들에게 본때를 보여 주지,이 패배자들에게 본때를 보여 주지,english_reference,영어 참조 의미 대조 완료,,
26,english_reference_reviewed,JEEZ YOU RE TOUGH BUT HEISI WILL CRUSH YOU,정말 질기군! 하지만 헤이시가 널 쓰러뜨린다,정말 질기군 하지만 헤이시가 널 쓰러뜨린다,english_reference,영어 참조 의미 대조 완료,,
27,english_reference_reviewed,NYAH LATER,"쳇, 나중에 보자",쳇 나중에 보자,english_reference,영어 참조 의미 대조 완료,,
28,english_reference_reviewed,HEY YOU RE THOSE TWO BAD ASSES,이봐! 너희가 그 대단한 두 놈이군,이봐 너희가 그 대단한 두 놈이군,english_reference,영어 참조 의미 대조 완료,,
29,english_reference_reviewed,I M KINSU LET S BOOGIE,나는 긴수다! 한판 붙자,나는 긴수다 한판 붙자,english_reference,영어 참조 의미 대조 완료,,
30,english_reference_reviewed,DAMN TOO BAD YOU RE ON THE WRONG SIDE,젠장! 안타깝지만 넌 반대편이야,젠장 안타깝지만 넌 반대편이야,english_reference,영어 참조 의미 대조 완료,,
31,english_reference_reviewed,I M GONNA TELL MY BROTHER HEISI,내 동생 헤이시에게 말해 주마,내 동생 헤이시에게 말해 주마,english_reference,영어 참조 의미 대조 완료,,
32,english_reference_reviewed,CATCH ME IF YOU CAN,잡을 수 있으면 잡아 봐,잡을 수 있으면 잡아 봐,english_reference,영어 참조 의미 대조 완료,,
33,english_reference_reviewed,HEY I M HEISI,이봐! 나는 헤이시다,이봐 나는 헤이시다,english_reference,영어 참조 의미 대조 완료,,
34,english_reference_reviewed,GAWD YOU RE TOUGH,"이런, 정말 세군",이런 정말 세군,english_reference,영어 참조 의미 대조 완료,,
35,english_reference_reviewed,BEEG BOSS JINRO WILL FIX YOU,진로 큰두목이 널 손봐 주마,진로 큰두목이 널 손봐 주마,english_reference,영어 참조 의미 대조 완료,,
36,english_reference_reviewed,I WON T RUN,도망치지 않겠다,도망치지 않겠다,english_reference,영어 참조 의미 대조 완료,,
37,english_reference_reviewed,FIGHT ME NOW,지금 나와 싸워라,지금 나와 싸워라,english_reference,영어 참조 의미 대조 완료,,
38,english_reference_reviewed,YOU WORK FOR I THOUGHT YOU SERVED TORA,너는 밑에서 일하나 토라를 섬긴다고 들었다,너는 밑에서 일하나 토라를 섬긴다고 들었다,english_reference,FB 이름 토큰 앞뒤 명시적 구간 검토 완료,,dynamic_control_context
39,english_reference_reviewed,SORRY PAL HEY GIMME A BREAK,미안하군 친구! 한 번만 봐 줘,미안하군 친구 한 번만 봐 줘,english_reference,영어 참조 의미 대조 완료,,
40,english_reference_reviewed,TAKE WITH YOU,이 을 가져가라,이 을 가져가라,english_reference,FB 아이템 토큰 앞뒤 명시적 구간 검토 완료,,dynamic_control_context
41,english_reference_reviewed,PHEW YOU NEED A BATH,"휴, 넌 목욕 좀 해야겠군",휴 넌 목욕 좀 해야겠군,english_reference,영어 참조 의미 대조 완료,,
42,english_reference_reviewed,I OWE YA ONE,신세를 졌다,신세를 졌다,english_reference,영어 참조 의미 대조 완료,,
43,english_reference_reviewed,HERE TAKE THIS KANPOU,여기 있다! 이 한방약을 가져가라,여기 있다 이 한방약을 가져가라,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
44,english_reference_reviewed,USE IT TO CURE,의 상처를 치료해,의 상처를 치료해,english_reference,FB 대상 토큰 뒤 명시적 구간 검토 완료,,dynamic_control_context
45,english_reference_reviewed,I M TORA S HOLY GUARD PREPARE FOR HEAVEN S WRATH,나는 토라의 성스러운 수호자다! 천벌을 받아라,나는 토라의 성스러운 수호자다 천벌을 받아라,english_reference,영어 참조 의미 대조 완료,,
46,english_reference_reviewed,HEH WHAT,"허허, 뭐라고?",허허 뭐라고,english_reference,영어 참조 의미 대조 완료,,
47,english_reference_reviewed,LOUSY FOREIGNERS YOUR ENGLISH SUCKS,"형편없는 외지인들, 너희 영어는 엉망이군",형편없는 외지인들 너희 영어는 엉망이군,english_reference,영어 참조 의미 대조 완료,,
48,english_reference_reviewed,HEY GIMME A BREAK LET BYGONES BE BYGONES,"이봐! 한 번만 봐 줘, 지난 일은 잊자",이봐 한 번만 봐 줘 지난 일은 잊자,english_reference,영어 참조 의미 대조 완료,,
49,english_reference_reviewed,PLEASE LET ME JOIN YOU,나도 끼워 줘,나도 끼워 줘,english_reference,영어 참조 의미 대조 완료,,
50,english_reference_reviewed,LATER BUD,"나중에 보자, 친구",나중에 보자 친구,english_reference,영어 참조 의미 대조 완료,,
51,english_reference_reviewed,HEEHEE,히히,히히,english_reference,영어 참조 의미 대조 완료,,
52,english_reference_reviewed,NOTHING PERSONAL SORRY,"개인적인 감정은 없어, 미안하다",개인적인 감정은 없어 미안하다,english_reference,영어 참조 의미 대조 완료,,
53,english_reference_reviewed,YOU WORK FOR WELL I HAVE SOME NEWS,너는 밑에서 일하나 좋아 알려 줄 게 있다,너는 밑에서 일하나 좋아 알려 줄 게 있다,english_reference,FB 이름 토큰 앞뒤 명시적 구간 검토 완료,,dynamic_control_context
54,english_reference_reviewed,TORA TOOK THE GIRL,토라가 그 소녀를 데려갔다,토라가 그 소녀를 데려갔다,english_reference,영어 참조 의미 대조 완료,,
55,english_reference_reviewed,I CAN T GO WITH YOU SO INSTEAD LET ME TEACH YOU,너와 함께 갈 수 없어. 대신 내가 가르쳐 주지,너와 함께 갈 수 없어 대신 내가 가르쳐 주지,english_reference,영어 참조 의미 대조 완료,,
56,english_reference_reviewed,MY FAMOUS DAGGER ATTACK,나의 유명한 단검 공격이다,나의 유명한 단검 공격이다,english_reference,영어 참조 의미 대조 완료,,
57,english_reference_reviewed,I MUST LEAVE NOW,이제 떠나야 한다,이제 떠나야 한다,english_reference,영어 참조 의미 대조 완료,,
58,english_reference_reviewed,CATCH YA LATER,나중에 보자,나중에 보자,english_reference,영어 참조 의미 대조 완료,,
59,english_reference_reviewed,LOOKING FOR TORA BE CAREFUL,토라를 찾고 있다면 조심해라,토라를 찾고 있다면 조심해라,english_reference,영어 참조 의미 대조 완료,,
60,english_reference_reviewed,TORA WOULDN T KIDNAP A GIRL WOULD HE,"토라가 소녀를 납치했을 리 없어, 그렇지?",토라가 소녀를 납치했을 리 없어 그렇지,english_reference,영어 참조 의미 대조 완료,,
61,english_reference_reviewed,I M TELLING YA AND GRABBED HER,내 말이 맞아 와 가 그녀를 잡았어,내 말이 맞아 와 가 그녀를 잡았어,english_reference,FB 인물 토큰 두 개의 명시적 구간 검토 완료,,dynamic_control_context
62,english_reference_reviewed,THEY RE DANGEROUS,그들은 위험하다,그들은 위험하다,english_reference,영어 참조 의미 대조 완료,,
63,english_reference_reviewed,YOU RE I HEARD YOU RE PRETTY TOUGH,너는 아사지와 관련 있군. 꽤 강하다고 들었다,너는 아사지와 관련 있군 꽤 강하다고 들었다,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
64,english_reference_reviewed,PLEASE LET ME JOIN YOU,나도 끼워 줘,나도 끼워 줘,english_reference,영어 참조 의미 대조 완료,,
65,english_reference_reviewed,PLEASE,부탁한다,부탁한다,english_reference,영어 참조 의미 대조 완료,,
66,english_reference_reviewed,I LL BE BACK,다시 돌아오겠다,다시 돌아오겠다,english_reference,영어 참조 의미 대조 완료,,
67,english_reference_reviewed,YEAH WE GRABBED THE GIRL FOR THE GREAT ONE,"그래, 우리가 소녀를 잡았다. 위대한 분을 위해서다",그래 우리가 소녀를 잡았다 위대한 분을 위해서다,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
68,english_reference_reviewed,GOTTA BEAT US IF YA WANT HER BACK,그녀를 되찾고 싶다면 우리를 이겨라,그녀를 되찾고 싶다면 우리를 이겨라,english_reference,영어 참조 의미 대조 완료,,
69,english_reference_reviewed,THAT BOZO RAN AWAY UNBELIEVABLE,그 얼간이가 도망갔다. 믿을 수 없군,그 얼간이가 도망갔다 믿을 수 없군,english_reference,영어 참조 의미 대조 완료,,
70,english_reference_reviewed,FINISH IT DAMN YOU,"끝장을 내라, 이 자식아",끝장을 내라 이 자식아,english_reference,영어 참조 의미 대조 완료,,
71,english_reference_reviewed,YOU LL REGRET LETTING ME GO,날 놓아준 걸 후회하게 될 거다,날 놓아준 걸 후회하게 될 거다,english_reference,영어 참조 의미 대조 완료,,
72,english_reference_reviewed,YOU AND WHO S ARMY WILL STOP US,너희가 누구를 데려와도 우리를 막을 수 없다,너희가 누구를 데려와도 우리를 막을 수 없다,english_reference,영어 참조 의미 대조 완료,,
73,english_reference_reviewed,RUN WHILE YOU CAN,도망칠 수 있을 때 도망쳐라,도망칠 수 있을 때 도망쳐라,english_reference,영어 참조 의미 대조 완료,,
74,english_reference_reviewed,YOU AGAIN DAMN,또 너냐? 젠장,또 너냐 젠장,english_reference,영어 참조 의미 대조 완료,,
75,english_reference_reviewed,YOU RE A BIG JOKE,너는 정말 웃기는군,너는 정말 웃기는군,english_reference,영어 참조 의미 대조 완료,,
76,english_reference_reviewed,PLEASE LET ME JOIN YOU,나도 끼워 줘,나도 끼워 줘,english_reference,영어 참조 의미 대조 완료,,
77,english_reference_reviewed,MR THE BEEG BOSS IS BEHIND THIS,"대장님, 이 일의 배후에는 큰두목이 있다",대장님 이 일의 배후에는 큰두목이 있다,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
78,english_reference_reviewed,BE CAREFUL TORA HIRED SOME GOON CALLED ASAJI,조심해라. 토라가 아사지라는 깡패를 고용했다,조심해라 토라가 아사지라는 깡패를 고용했다,english_reference,영어 참조 의미 대조 완료,,
79,english_reference_reviewed,BEEG BOSS SAYS THANKS,큰두목이 고맙다고 전하더군,큰두목이 고맙다고 전하더군,english_reference,영어 참조 의미 대조 완료,,
80,english_reference_reviewed,WE MUST FIND OUT WHO ASAJI REALLY WORKS FOR,아사지가 정말 누구를 섬기는지 알아내야 한다,아사지가 정말 누구를 섬기는지 알아내야 한다,english_reference,영어 참조 의미 대조 완료,,
81,english_reference_reviewed,I M THE BEEG BOSS I M BAD AND I M STRONG,내가 큰두목이다. 난 악당이고 강하지,내가 큰두목이다 난 악당이고 강하지,english_reference,영어 참조 의미 대조 완료,,
82,english_semantic_draft,FORGIVE ME BRO I WAS,"용서해 줘, 형제여. 내가 잘못했다",용서해 줘 형제여 내가 잘못했다,english_reference,일본어 문맥 확인 필요,,"semantic_draft_not_reviewed,context_confirmation_required"
83,english_reference_reviewed,BROTHER,형제여,형제여,english_reference,영어 참조 의미 대조 완료,,
84,english_reference_reviewed,HEH HOW DO YOU LIKE MY INGENIOUS MASTER PLAN,"허허, 내 기막힌 계획은 어떤가?",허허 내 기막힌 계획은 어떤가,english_reference,영어 참조 의미 대조 완료,,
85,english_reference_reviewed,ALL WE NEED TO DO IS ELIMINATE,우리가 할 일은 을 없애는 것뿐이다,우리가 할 일은 을 없애는 것뿐이다,english_reference,FB 대상 토큰 앞뒤 명시적 구간 검토 완료,,dynamic_control_context
86,english_reference_reviewed,WATCH YOUR BACKS HEEHEE,뒤를 조심해라. 히히,뒤를 조심해라 히히,english_reference,영어 참조 의미 대조 완료,,
87,english_reference_reviewed,TORA I CAN T BELIEVE YOU IDIOTS GOT THIS FAR,"토라, 이 멍청이들이 여기까지 왔다니 믿을 수 없군",토라 이 멍청이들이 여기까지 왔다니 믿을 수 없군,english_reference,영어 참조 의미 대조 완료,,
88,english_reference_reviewed,ASAJI YOU TWO ARE BECOMING A NUISANCE,"아사지, 너희 둘은 골칫거리가 되어 가는군",아사지 너희 둘은 골칫거리가 되어 가는군,english_reference,영어 참조 의미 대조 완료,,
89,english_reference_reviewed,ASAJI WHAT DO YOU WANT DONE WITH THEM,"아사지, 저들을 어떻게 처리할까?",아사지 저들을 어떻게 처리할까,english_reference,영어 참조 의미 대조 완료,,
90,english_reference_reviewed,TORA I LL TAKE CARE OF THEM PERSONALLY,"토라, 내가 직접 처리하겠다",토라 내가 직접 처리하겠다,english_reference,영어 참조 의미 대조 완료,,
91,english_reference_reviewed,GAWD YOU GUYS ARE BAD,"이런, 너희 정말 독하군",이런 너희 정말 독하군,english_reference,영어 참조 의미 대조 완료,,
92,english_reference_reviewed,YA GOT BALLS,배짱은 있군,배짱은 있군,english_reference,영어 참조 의미 대조 완료,,
93,english_reference_reviewed,YOU RE STILL ALIVE,아직 살아 있었군,아직 살아 있었군,english_reference,영어 참조 의미 대조 완료,,
94,english_reference_reviewed,ASAJI YOU SORRY PIECE OF SHIT,"아사지, 이 쓸모없는 자식",아사지 이 쓸모없는 자식,english_reference,영어 참조 의미 대조 완료,,
95,english_reference_reviewed,SO WE MEET AGAIN YOU BEAT TORA WOW,"그래, 또 만났군. 토라를 이겼다고? 대단하군",그래 또 만났군 토라를 이겼다고 대단하군,english_reference,영어 참조 의미 대조 완료,,
96,english_reference_reviewed,HERE TAKE THIS CHARM,"여기 있다, 이 부적을 받아라",여기 있다 이 부적을 받아라,english_reference,영어 참조 의미 대조 완료,,
97,english_reference_reviewed,ARE YOU SHITTING ME,지금 장난하냐?,지금 장난하냐,english_reference,영어 참조 의미 대조 완료,,
98,english_reference_reviewed,MAYBE YOU CAN BEAT HIM NOW,이제라면 그를 이길 수 있을지도 모른다,이제라면 그를 이길 수 있을지도 모른다,english_reference,영어 참조 의미 대조 완료,,
99,english_reference_reviewed,FIGHT ME IF YOU GOT THE BALLS ASAJI,"배짱이 있다면 나와 싸워라, 아사지",배짱이 있다면 나와 싸워라 아사지,english_reference,영어 참조 의미 대조 완료,,
100,english_reference_reviewed,PLEASE LET ME JOIN YOU,나도 끼워 줘,나도 끼워 줘,english_reference,영어 참조 의미 대조 완료,,
101,english_reference_reviewed,BEEG BOSS GAVE ME THIS,큰두목이 이것을 주셨다,큰두목이 이것을 주셨다,english_reference,영어 참조 의미 대조 완료,,
102,english_reference_reviewed,OH NO BEEG BOSS,안 돼! 큰두목님,안 돼 큰두목님,english_reference,영어 참조 의미 대조 완료,,
103,english_reference_reviewed,WE LL SETTLE THIS LATER,이 일은 나중에 결판내자,이 일은 나중에 결판내자,english_reference,영어 참조 의미 대조 완료,,
104,english_reference_reviewed,ASAJI WE RE GONNA KICK YOUR ASS,"아사지, 너희를 박살내 주마",아사지 너희를 박살내 주마,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
105,english_reference_reviewed,BUT FIRST LET ME CLUE YOU IN,하지만 먼저 너희에게 진실을 알려 주지,하지만 먼저 너희에게 진실을 알려 주지,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
106,english_reference_reviewed,YOU WERE JUST A PAWN,너희는 그저 꼭두각시였어,너희는 그저 꼭두각시였어,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
107,english_reference_reviewed,ASAJI SO PRAY WHILE YOU CAN,"아사지, 죽기 전에 실컷 기도해라",아사지 죽기 전에 실컷 기도해라,english_reference,영어 참조 의미 대조 완료,,
108,english_reference_reviewed,HEH STUPID BASTARDS,"허허, 이 멍청한 자식들",허허 이 멍청한 자식들,english_reference,영어 참조 의미 대조 완료,,
109,english_reference_reviewed,ISN T THE MUSIC IN THIS VIDEO GAME GREAT,이 비디오 게임의 음악은 정말 멋지지 않나?,이 비디오 게임의 음악은 정말 멋지지 않나,english_reference,영어 참조 의미 대조 완료,,
110,english_reference_reviewed,THEY RE BACK TO HAVE THEIR ASSES KICKED AGAIN,또 얻어맞으러 돌아왔군,또 얻어맞으러 돌아왔군,english_reference,영어 참조 의미 대조 완료,,
111,english_reference_reviewed,HUH,어?,어,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
112,english_semantic_draft,TAKE THAT WHA,받아라! 뭐라고?,받아라 뭐라고,english_reference,일본어 문맥 확인 필요,,"semantic_draft_not_reviewed,context_confirmation_required"
113,english_reference_reviewed,NOW I M REALLY PISSED,이제 정말 화났다,이제 정말 화났다,english_reference,영어 참조 의미 대조 완료,,
114,english_reference_reviewed,AIYEE,꺄악!,꺄악,english_reference,영어 참조 의미 대조 완료,,
115,english_reference_reviewed,DUM DEE DUM,둠디둠,둠디둠,english_reference,영어 참조 의미 대조 완료,,
116,english_reference_reviewed,HEY TWERP,"이봐, 풋내기!",이봐 풋내기,english_reference,영어 참조 의미 대조 완료,,
117,english_reference_reviewed,ONE MO TIME,한 번만 더!,한 번만 더,english_reference,영어 참조 의미 대조 완료,,
118,english_reference_reviewed,ROCK N ROLL,락 앤 롤!,락 앤 롤,english_reference,영어 참조 의미 대조 완료,,
119,english_reference_reviewed,JEEZ THIS SUCKS,"이런, 정말 별로군",이런 정말 별로군,english_reference,영어 참조 의미 대조 완료,,
120,english_reference_reviewed,WHOOPS,이런!,이런,english_reference,영어 참조 의미 대조 완료,,
121,english_reference_reviewed,WHAT THE,이게 대체 뭐야?,이게 대체 뭐야,english_reference,영어 참조 의미 대조 완료,,
122,english_reference_reviewed,LEMME HIT EM,내가 녀석들을 때려 주지,내가 녀석들을 때려 주지,english_reference,영어 참조 의미 대조 완료,,
123,english_reference_reviewed,I M GONNA KICK YOUR ASS,네놈을 박살내 주마,네놈을 박살내 주마,english_reference,영어 참조 의미 대조 완료,,
124,english_reference_reviewed,YA WIMP,"이봐, 겁쟁이!",이봐 겁쟁이,english_reference,영어 참조 의미 대조 완료,,
125,english_reference_reviewed,EAT THIS,이거나 먹어라!,이거나 먹어라,english_reference,영어 참조 의미 대조 완료,,
126,english_reference_reviewed,I LL REMEMBER YOU,널 기억해 두겠다,널 기억해 두겠다,english_reference,영어 참조 의미 대조 완료,,
127,english_reference_reviewed,EEE,으에!,으에,english_reference,영어 참조 의미 대조 완료,,
128,english_reference_reviewed,ARGH,으악!,으악,english_reference,영어 참조 의미 대조 완료,,
129,english_reference_reviewed,DICKWEED,이 자식!,이 자식,english_reference,영어 참조 의미 대조 완료,,
130,english_reference_reviewed,WAH,으아!,으아,english_reference,영어 참조 의미 대조 완료,,
131,english_reference_reviewed,GWA,꺄!,꺄,english_reference,영어 참조 의미 대조 완료,,
132,english_reference_reviewed,AIYEE,꺄악!,꺄악,english_reference,영어 참조 의미 대조 완료,,
133,english_reference_reviewed,ARGH,으악!,으악,english_reference,영어 참조 의미 대조 완료,,
134,english_reference_reviewed,AI YAI YAI,아야야야!,아야야야,english_reference,영어 참조 의미 대조 완료,,
135,english_reference_reviewed,WELCOME,어서 오세요,어서 오세요,english_reference,영어 참조 의미 대조 완료,,
136,english_reference_reviewed,WHAT WOULD YOU LIKE,무엇을 원하시나요?,무엇을 원하시나요,english_reference,영어 참조 의미 대조 완료,,
137,english_reference_reviewed,YOUR INVENTORY IS FULL,소지품이 가득 찼습니다,소지품이 가득 찼습니다,english_reference,영어 참조 의미 대조 완료,,
138,english_reference_reviewed,YOU DON T HAVE ENOUGH MONEY,돈이 부족합니다,돈이 부족합니다,english_reference,영어 참조 의미 대조 완료,,
139,english_reference_reviewed,ARE YOU SURE,정말 확실한가요?,정말 확실한가요,english_reference,영어 참조 의미 대조 완료,,
140,english_reference_reviewed,THANKS,고맙습니다,고맙습니다,english_reference,영어 참조 의미 대조 완료,,
141,english_reference_reviewed,ATE,먹었습니다,먹었습니다,english_reference,동적 아이템 토큰 UI 문장 검토 완료,,dynamic_control_context
142,english_reference_reviewed,DRANK,마셨습니다,마셨습니다,english_reference,동적 아이템 토큰 UI 문장 검토 완료,,dynamic_control_context
143,english_reference_reviewed,GOT,얻었습니다,얻었습니다,english_reference,동적 아이템 토큰 UI 문장 검토 완료,,dynamic_control_context
144,english_reference_reviewed,EQUIPPED,장착했습니다,장착했습니다,english_reference,동적 아이템 토큰 UI 문장 검토 완료,,dynamic_control_context
145,english_reference_reviewed,ANYTHING ELSE,다른 것은 더 없나요?,다른 것은 더 없나요,english_reference,영어 참조 의미 대조 완료,,
146,english_reference_reviewed,THANKS COME AGAIN,고맙습니다. 또 오세요,고맙습니다 또 오세요,english_reference,영어 참조 의미 대조 완료,,
147,english_reference_reviewed,WILL YOU STAY,여기 머무르시겠어요?,여기 머무르시겠어요,english_reference,영어 참조 의미 대조 완료,,
148,english_reference_reviewed,PLEASE RELAX,편히 쉬세요,편히 쉬세요,english_reference,영어 참조 의미 대조 완료,,
149,english_reference_reviewed,RESTED,회복했습니다,회복했습니다,english_reference,영어 참조 의미 대조 완료,,
150,english_reference_reviewed,WANNA GAMBLE,도박을 해 볼래요?,도박을 해 볼래요,english_reference,영어 참조 의미 대조 완료,,
151,english_reference_reviewed,READY,준비됐습니다,준비됐습니다,english_reference,영어 참조 의미 대조 완료,,
152,english_reference_reviewed,GO NOW,지금 가세요,지금 가세요,english_reference,영어 참조 의미 대조 완료,,
153,english_reference_reviewed,WE HAVE AND,우리에게 와,우리에게 와,english_reference,FD/FE 아이템 토큰 사이 명시적 구간 검토 완료,,dynamic_control_context
154,english_reference_reviewed,YOU WON,이겼습니다,이겼습니다,english_reference,영어 참조 의미 대조 완료,,
155,english_reference_reviewed,YOU LOST,졌습니다,졌습니다,english_reference,영어 참조 의미 대조 완료,,
156,english_reference_reviewed,WELL,그렇군요,그렇군요,english_reference,영어 참조 의미 대조 완료,,
157,english_reference_reviewed,SANKI WELCOME BACK,"산키, 다시 오셨군요",산키 다시 오셨군요,english_reference,영어 참조 의미 대조 완료,,
158,english_reference_reviewed,NEED SOMETHING,무언가 필요하신가요?,무언가 필요하신가요,english_reference,영어 참조 의미 대조 완료,,
159,english_reference_reviewed,MY PLEASURE,천만에요,천만에요,english_reference,영어 참조 의미 대조 완료,,
160,english_reference_reviewed,NEED SOMETHING,무언가 필요하신가요?,무언가 필요하신가요,english_reference,영어 참조 의미 대조 완료,,
161,english_reference_reviewed,BE CAREFUL,조심하세요,조심하세요,english_reference,영어 참조 의미 대조 완료,,
162,excluded_non_dialogue,,,,english_reference,단독 종료 바이트라 번역하지 않음,,
163,english_reference_reviewed,CHOOSE ALLY,동료를 선택하세요,동료를 선택하세요,english_reference,영어 참조 의미 대조 완료,,
164,english_semantic_draft,SANKI OKOTO HAS,"산키, 오코토는 괜찮습니다",산키 오코토는 괜찮습니다,english_reference,이름 표기 문맥 확인 필요,,"semantic_draft_not_reviewed,context_confirmation_required,dynamic_control_context"
165,english_reference_reviewed,SANKI TWO GUYS STRUCK LIKE LIGHTNING,"산키, 두 사람이 번개처럼 나타났습니다",산키 두 사람이 번개처럼 나타났습니다,english_reference,영어 참조 의미 대조 완료,,
166,english_reference_reviewed,SANKI I WAS HELPLESS SORRY,"산키, 저는 아무것도 못 했습니다. 미안합니다",산키 저는 아무것도 못 했습니다 미안합니다,english_reference,영어 참조 의미 대조 완료,,
167,english_reference_reviewed,IDIOTS WE LL FIND THEM,바보들! 우리가 그들을 찾을 것이다,바보들 우리가 그들을 찾을 것이다,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
168,english_reference_reviewed,THE KANPOU WORKED I M CURED,그 한방약이 효과가 있었어! 나았어,그 한방약이 효과가 있었어 나았어,english_reference,영어 참조 의미 대조 완료,,
169,english_reference_reviewed,AT LAST I CAN JOIN THE WAR AGAINST TORA,드디어 토라와 싸울 수 있어,드디어 토라와 싸울 수 있어,english_reference,영어 참조 의미 대조 완료,,
170,english_reference_reviewed,THIS CHARM WILL PROTECT YOU,이 부적이 너를 지켜 줄 거야,이 부적이 너를 지켜 줄 거야,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
171,english_reference_reviewed,I LL WAIT HERE GO SAVE OKOTO,여기서 기다릴게. 오코토를 구해 줘,여기서 기다릴게 오코토를 구해 줘,english_reference,영어 참조 의미 대조 완료,,
