selected,rom_offset,prg_bank,screen_context,label,category,source_japanese,korean,romaji,cpu_range,expected_bytes,active_expected_match,selection_reason
yes-candidate,0x1CB39,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,OBSCENE,direct-low-8x8,OBSCENE,야,English reference label,,0F 02 13 03 05 0E 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB47,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,COMMON,direct-low-8x8,COMMON,보,English reference label,,03 0F 0D 0D 0F 0E,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB54,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,WIDE,direct-low-8x8,WIDE,대,English reference label,,17 09 04 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB5F,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,THICK,direct-low-8x8,THICK,두,English reference label,,14 08 09 03 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB6B,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,WHITE,direct-low-8x8,WHITE,하,English reference label,,17 08 09 14 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB81,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,PRICEY,direct-low-8x8,PRICEY,고가,English reference label,,10 12 09 03 05 19,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB8E,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SILK,direct-low-8x8,SILK,비,English reference label,,13 09 0C 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB99,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SILK,direct-low-8x8,SILK,비,English reference label,,13 09 0C 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBA4,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,THICK,direct-low-8x8,THICK,두,English reference label,,14 08 09 03 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBB0,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SAUCY,direct-low-8x8,SAUCY,방,English reference label,,13 01 15 03 19,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBBC,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,NARITA,direct-low-8x8,NARITA,리타,English reference label,,0E 01 12 09 14 01,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBD3,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SOFT,direct-low-8x8,SOFT,부드,English reference label,,13 0F 06 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBDE,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,WOOL,direct-low-8x8,WOOL,모,English reference label,,17 0F 0F 0C,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBEC,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TWISTED,direct-low-8x8,TWISTED,임,English reference label,,14 17 09 13 14 05 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CBFA,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,PONGEE,direct-low-8x8,PONGEE,명주,English reference label,,10 0F 0E 07 05 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC06,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,DOUBLEUP,direct-low-8x8,DOUBLEUP,두배,English reference label,,04 0F 15 02 0C 05 15 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC15,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SNOW,direct-low-8x8,SNOW,설,English reference label,,13 0E 0F 17,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC20,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SPIKED,direct-low-8x8,SPIKED,가시,English reference label,,13 10 09 0B 05 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
